96 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 306 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 87 244 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 40 236 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 62 176 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 67 274 86 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 86 292 117 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 117 354 94 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 94 442 145 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 145 568 167 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 167 618 212 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 212 830 278 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 278 950 302 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 302 970 325 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 325 1272 338 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 338 1186 402 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 402 1456 470 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 470 1710 471 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 471 1578 535 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 535 2076 


66 306 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
306 786 526 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
87 526 534 450 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 76 450 452 358 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 78 358 356 480 119 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 103 480 610 514 139 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 119 514 768 657 119 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 139 657 844 774 171 0 0 0 0 0 0 0 0 0 0 
