116292 97324 99694 125220 146136 156918 171408 191088 212592 233626 251260 275622 294480 317484 338556 358782 377588 403018 420778 446198 468334 494102 515578 540830 565994 592708 618890 637750 665050 698624 727230 740444 764102 792582 821032 836590 859798 883484 899924 921908 947550 970970 984700 1.00516e+06 1.02781e+06 1.05033e+06 1.07646e+06 1.10219e+06 1.13267e+06 1.15381e+06 
31926 59474 78968 104964 128248 148118 168164 188318 210836 232042 251010 272042 295988 315406 335226 356510 381722 400192 421168 444604 470798 496116 521206 543034 568810 592510 620048 641248 665230 697874 722766 739470 761186 786424 812434 840158 861420 875828 897016 919838 943002 962774 982260 1.00074e+06 1.02308e+06 1.04663e+06 1.0712e+06 1.10142e+06 1.12825e+06 1.15197e+06 
22866 51284 69966 95802 121640 142824 164176 185722 206014 229352 250734 272124 291830 312480 334278 356678 379046 397278 419200 441332 469990 495590 519982 542634 566852 591374 620676 638964 658484 687172 716486 734400 759160 779252 808668 832986 853236 871004 890342 917806 939716 962988 980506 1.00546e+06 1.02756e+06 1.05211e+06 1.07389e+06 1.10421e+06 1.13196e+06 1.15018e+06 
21756 52172 70998 95654 118528 138414 161472 181180 205560 228726 250948 270078 290136 315390 337392 357388 378456 398366 421346 444344 470848 495392 522110 546132 568326 593376 622326 646234 661636 686302 713610 734392 760696 784278 810810 836340 858074 874014 893714 917054 944728 968508 991102 1.00904e+06 1.02958e+06 1.05331e+06 1.08459e+06 1.10094e+06 1.12638e+06 1.15186e+06 
19310 48170 70886 92682 115956 138312 157922 179964 202600 226616 246916 268208 291130 316494 338808 360850 379724 400588 425250 447100 469730 496148 522864 546942 568534 591332 619632 643050 666980 691930 713984 735912 761592 788184 808018 833674 854328 876966 902282 921600 947966 963460 983990 1.00525e+06 1.03468e+06 1.05082e+06 1.07914e+06 1.10417e+06 1.11841e+06 1.14249e+06 
16160 43300 68136 91048 113584 136194 156628 179642 202004 223334 246158 270850 290524 316972 337128 357648 382084 402700 423902 448418 468762 497030 521274 542074 565806 594794 618798 640104 666318 690830 710918 732912 759292 787598 806252 828602 850366 878638 906710 921250 942438 962540 986810 1.00946e+06 1.03072e+06 1.05261e+06 1.07545e+06 1.09531e+06 1.11547e+06 1.14065e+06 
15144 41986 66612 88774 110348 132842 155048 178846 205082 223918 246582 268270 290304 315088 335592 355108 380884 402056 422924 448538 472502 498384 516546 539476 567942 589122 614504 642122 664854 691660 713236 732308 756780 786348 812550 826148 842200 872860 896962 917492 932864 964148 991998 1.01512e+06 1.0344e+06 1.05501e+06 1.07218e+06 1.08959e+06 1.11531e+06 1.1368e+06 
13062 39084 65400 89206 112596 134520 156710 177764 204468 226106 246902 268530 292362 316890 332934 355226 380900 403256 426226 454860 477240 497902 515412 537738 566212 589812 613206 641024 663594 686748 711110 728448 756714 784184 808148 827692 847174 870110 892540 917926 938906 968804 991150 1.00868e+06 1.03459e+06 1.05679e+06 1.07014e+06 1.08926e+06 1.11769e+06 1.14106e+06 
12806 39860 65030 88766 112414 134842 156422 179146 201846 222228 246088 271500 297858 317616 335172 356864 379182 404382 431078 458236 480810 503132 522162 541856 565346 592148 619184 641802 662028 690654 713998 730786 757608 781556 810180 829986 852840 875218 900920 921688 944848 968270 989502 1.01208e+06 1.03804e+06 1.05592e+06 1.07101e+06 1.08377e+06 1.11818e+06 1.14467e+06 
12776 38080 65122 86626 112140 133970 155500 178904 199944 223284 246654 268292 296470 317110 341132 358788 380916 406174 432940 458152 482854 505366 524510 551488 573608 593358 617796 643694 662672 689416 714460 733754 756172 784494 802736 830622 859282 879094 901312 923178 945316 964242 991070 1.01417e+06 1.03533e+06 1.0638e+06 1.08088e+06 1.10296e+06 1.1254e+06 1.14431e+06 
