11736 35376 57984 81780 105656 128186 151640 174412 197810 220584 245380 267318 292406 314702 336022 362476 384710 408482 431458 454310 476662 501320 523436 547256 569468 595546 617642 641568 664524 689766 711868 735270 757850 780050 804964 826960 848674 875666 896298 921016 942652 967100 990262 1.01442e+06 1.03497e+06 1.06153e+06 1.08479e+06 1.10607e+06 1.13045e+06 1.15474e+06 
11646 35224 58670 81748 105378 128130 152310 174866 198938 221998 244584 268180 291782 313316 337670 360550 384456 406306 431608 455188 477844 500444 524760 545548 570810 595542 619042 640254 664022 687738 711368 733726 757358 780164 802932 826520 849800 872792 899218 921476 943498 967770 992388 1.01232e+06 1.0342e+06 1.0599e+06 1.08383e+06 1.10872e+06 1.13138e+06 1.15402e+06 
11682 35090 57492 81984 104310 127662 151892 175380 199628 221512 244486 268234 291646 315618 338028 361826 384202 408204 430270 455318 476908 501904 525716 547866 572936 595718 618002 639354 663900 690044 711138 734750 756948 780816 800822 826372 851608 874196 895218 922540 945858 968674 992404 1.01523e+06 1.03444e+06 1.06402e+06 1.08427e+06 1.10689e+06 1.12936e+06 1.1533e+06 
11556 34840 58492 81202 104652 129436 151784 174760 197972 222934 244030 268272 290558 314130 337626 359982 385462 406180 431794 454008 478396 500346 524370 548358 572078 596290 618846 640556 664214 687350 709182 736626 759360 781082 802836 826562 850602 871728 898464 920000 946666 966044 991142 1.01424e+06 1.03704e+06 1.06051e+06 1.08359e+06 1.10693e+06 1.1314e+06 1.15405e+06 
11800 35032 59272 81558 104666 128194 151748 174146 197056 221374 244830 268126 290694 315080 338410 360878 384494 409274 431408 454980 477070 500420 523928 548354 569618 595386 616006 639890 664554 689256 709706 731974 757760 778460 805194 827788 850728 873950 898072 920118 944518 964456 990876 1.01204e+06 1.03555e+06 1.05983e+06 1.08063e+06 1.10689e+06 1.12888e+06 1.15358e+06 
11692 35130 58136 82064 104440 129134 151070 175078 197350 220976 244660 267370 291472 313094 337416 361654 384978 408086 432498 455266 479148 502456 525308 549416 570314 597112 616148 641072 664038 688326 710238 734344 759392 783764 804264 828604 849818 871310 896202 922140 943540 966956 991322 1.01167e+06 1.03685e+06 1.05827e+06 1.08486e+06 1.10668e+06 1.13277e+06 1.15497e+06 
11586 35224 58496 81576 104478 128802 152128 175300 197712 222408 244806 267188 292672 314832 338530 362026 385764 407224 432586 455396 477048 501346 524322 549240 569716 594508 618052 639208 663298 689384 711358 734232 756396 781844 804844 828866 849792 872474 895838 918136 943186 966722 991066 1.01548e+06 1.03536e+06 1.06262e+06 1.08455e+06 1.10622e+06 1.13006e+06 1.15314e+06 
11514 35358 58024 81298 104346 128434 151780 174876 198442 221464 244350 269206 291204 314290 337758 361378 384828 408990 432066 454352 479010 501646 525148 546944 571386 596826 617340 640984 663548 688364 710230 734100 756422 780986 804814 828270 849278 875060 896596 921318 944092 965902 994560 1.01489e+06 1.03616e+06 1.05957e+06 1.08452e+06 1.10606e+06 1.13223e+06 1.15067e+06 
11442 34910 58460 81752 105128 129274 151882 174088 197128 222958 245290 268704 290590 313852 338768 361728 384158 406820 430846 455004 477868 499702 525582 547640 573452 592790 616820 639678 663218 688466 710494 736422 755456 780154 805210 826904 850076 873034 898452 921894 944066 966710 989898 1.01314e+06 1.03669e+06 1.05923e+06 1.08311e+06 1.10521e+06 1.1293e+06 1.15078e+06 
12002 34966 58086 81934 104780 128540 151136 173968 197680 222892 244668 267518 291308 314966 338876 360832 384180 408252 432448 455148 477444 500632 524614 548380 570626 593186 618000 640134 662774 687420 711312 735312 755692 779552 805230 825878 849814 874388 896142 921552 943298 966936 991352 1.01559e+06 1.03691e+06 1.05849e+06 1.08364e+06 1.10547e+06 1.13013e+06 1.15359e+06 
