114742 94926 95250 117554 135050 143382 153338 167656 183646 197798 209730 224500 236234 250616 262392 273796 283230 296798 302012 314300 324566 336820 345152 354686 365224 374602 385668 388822 394128 401388 411242 415800 417862 422534 431444 432964 436608 437754 432942 426026 428514 427218 425276 424282 420452 413448 410454 407270 407542 406984 
31116 57046 74488 97106 116766 132938 148622 164014 179636 195576 206638 219348 235592 244096 255438 267684 282094 289694 297814 307850 321534 332898 343620 350894 361276 370192 379808 385768 390334 400368 407910 409364 412844 419098 423280 428754 427286 424922 426582 422248 421656 418086 417098 416716 411472 406144 408156 406048 404002 401176 
22082 48772 65408 87868 109690 127054 144436 160262 174754 190678 202976 219124 231458 242474 252286 265722 277962 284666 293844 303612 317996 328500 336694 346090 354996 365088 376640 380950 383148 391494 401206 402732 406554 409282 416200 418932 417670 416194 417568 417168 415458 415476 414282 414172 410500 408992 404720 404730 402036 396834 
20766 49228 65904 87610 106454 122156 140440 155002 173072 189046 203178 215572 227512 242328 253106 262442 274078 282480 292438 301608 313616 323634 336074 343776 352958 360494 372838 379952 379764 384314 393888 399214 403228 407490 413378 417566 417730 414532 414880 414212 413058 415510 413586 411934 408288 406420 404910 398476 397976 392290 
18036 44846 65132 83702 102780 121318 135786 151706 168610 185590 198348 211078 224316 240040 250442 261974 270758 280088 291422 301758 309874 320232 331558 338824 350140 357514 368108 372594 376914 383220 388162 395106 398772 404228 406954 412124 412464 410684 407776 408702 410008 410386 406696 406244 402670 396452 397966 392916 384424 380646 
14846 39744 61426 81092 99290 117202 133436 149526 165938 180220 193768 209248 220356 237418 247098 256478 270490 277508 286266 296712 303746 314088 323818 331358 340286 351224 357844 362858 371094 377698 381164 385252 388796 394112 399572 398912 401552 404722 406680 401210 401386 401740 400956 400318 392624 390374 386412 381916 377320 375478 
13378 37730 58962 77768 95440 112672 130828 148104 165602 176368 191542 203990 216318 233030 242914 250534 265864 274590 282580 291376 301452 312984 317680 326722 338198 342892 350776 357964 366880 373858 378480 379084 384388 389178 395132 396144 393434 398470 399862 400262 397384 399492 400352 399670 391980 388314 382432 377870 373986 370558 
11730 34556 57476 77188 96770 113762 130274 145090 163300 177062 190316 202988 215744 229934 236860 249420 260282 272238 281352 293628 303750 311062 317114 324226 333978 341930 347358 357058 363742 368338 372654 374028 382458 388130 389348 393758 394252 392244 391102 395202 392492 395448 395466 392768 388602 384300 379684 373074 367336 364020 
11254 34244 56058 75238 94728 112514 127406 142768 157970 171594 186634 202556 216434 226250 234250 247726 257976 269834 281056 292750 301690 309982 317232 326110 330056 339352 346524 355104 359344 365396 368754 366778 373706 377044 384406 386472 390688 388512 388754 389574 390742 387444 385080 383342 381048 375732 373090 366142 368092 362396 
11128 32544 55212 72880 93334 109198 124488 141348 153850 170326 184960 197022 213468 223954 236924 245320 256428 265756 276936 287724 298214 306376 313546 324236 329154 335306 341496 348908 351928 357802 361970 360924 368216 373238 373554 382206 388400 384542 381712 383018 383140 376162 378164 374894 372306 371658 368620 367880 364702 359560 
10414 32160 52532 70396 89254 107352 123210 138392 153778 169162 180678 195276 208814 223030 236244 244578 253506 262570 269254 280638 295668 301760 307300 315824 326284 333302 337688 343712 349212 353172 361770 361636 367984 373254 372456 371610 376506 374816 376980 376808 376082 373416 376160 371492 367528 363274 360864 362034 358650 353636 
10112 30578 50528 69080 86990 103482 121048 135756 150850 167806 181428 194696 209104 219934 233326 242636 256482 261784 269748 279444 292478 303880 306456 316310 326784 333326 335468 344864 349086 350906 357836 359204 362552 366688 365682 367698 371828 371496 373678 375838 375110 374610 374312 370992 365190 365912 357098 353832 354272 350012 
9618 29642 50998 70106 86384 102650 118976 134764 151318 163288 177608 190314 207274 219596 229480 240998 251466 264434 269904 279244 285822 299086 306394 313780 321460 328572 330822 334694 339582 342236 350432 356716 358184 360062 362386 367010 366968 367768 367108 373846 369188 367692 369982 364398 364496 364470 357010 353548 351272 348376 
9538 29070 47704 65334 83974 100840 115848 131652 147776 162682 172852 186364 202038 218090 231210 240942 251588 259724 269360 279506 283500 292038 303870 309096 318290 323226 326298 330292 333838 340974 343346 351636 356500 358022 360594 359866 364718 366060 363158 367616 365950 363612 366148 358584 355510 355616 357674 348782 348632 345210 
8990 28574 47118 64352 82230 97310 113056 131852 145086 158512 171602 185154 197928 210422 224794 234184 244398 255632 264078 273098 280616 290478 301866 304848 313470 322570 323096 327730 329714 338130 342404 346802 348360 348060 357358 356746 359122 362402 358506 359738 358134 360184 362648 356942 353734 352972 349172 349022 344542 342682 
9552 27010 45990 63360 80784 96252 113650 128120 145422 156992 166592 179644 191784 202336 216706 230856 240494 250318 261374 270332 279768 290970 293426 300418 307064 315850 322828 326170 327150 331848 337810 342932 343796 346340 349934 352086 352714 352778 352110 351588 353872 352124 354862 348830 346688 347834 345742 341540 336608 336902 
9156 27898 44624 61480 78152 93618 109074 124526 138676 152234 163468 177278 190686 201032 215306 229824 237128 246924 257506 264294 276176 284424 291866 301132 308618 308742 316980 322028 326772 328784 331192 336686 338424 339858 344040 347488 345860 345418 345272 347778 347344 343572 347236 344754 338402 339370 339012 335024 331496 331618 
8830 27062 43686 60036 75984 89668 107710 123056 137634 151028 161438 175660 190312 200240 211946 224742 233758 245022 257432 266210 273334 281204 287068 293878 301156 306348 309248 317346 323202 327018 327592 332168 334302 337658 337016 341650 342152 341312 343128 342222 343322 340468 337398 339698 335600 333692 329668 331340 329048 326034 
8870 26906 42342 58468 75792 90004 105900 122122 135608 149916 162864 176040 184888 194650 207530 221542 235598 244898 253616 263096 267594 275928 285780 292468 293456 300340 305326 310618 322036 321206 321596 325632 326772 331084 331034 338082 340122 337796 335066 338840 340308 342990 335948 334416 333348 330170 327778 327718 326174 324554 
8742 25450 41158 56780 72970 87542 104344 119498 132088 143058 155304 169518 180264 189568 204448 217852 230728 239944 246344 254342 261168 271702 280858 284110 288926 298918 303138 308354 312838 312920 315176 318078 320362 327688 329616 331486 333516 332396 333146 334548 332352 335972 333444 332356 327754 325454 324350 325578 324328 319392 
8648 25270 42116 56704 71092 86680 101670 115604 130144 140806 152476 166644 177110 187552 200700 213210 225430 234068 243188 253144 261052 266406 274740 281710 284486 290512 300812 302626 305572 310110 312274 317324 320456 323832 324294 325456 325602 326646 324870 325554 327800 328380 325456 326578 323782 320648 317938 318304 314258 311284 
8934 25688 41210 57236 70798 86094 100760 115898 128144 140778 152204 164530 174254 186082 197218 210062 221264 231786 239594 248690 256086 263732 270214 278796 283044 288108 295870 299028 300848 304182 307966 311706 316180 319088 319954 321476 324262 322702 320602 323404 326198 324740 326032 323776 321718 318984 314214 313316 311100 304892 
8414 25102 40478 57664 71854 85688 101170 117298 129224 140188 152210 163986 174568 185878 196916 206728 216806 225992 235238 244266 250850 259112 266778 275232 279062 283724 290028 293772 298062 300636 302220 308594 311598 314516 321522 321624 320548 320884 320420 321854 322700 322614 322870 318120 315424 313760 312938 305240 304718 302210 
8380 25564 41140 57014 70472 84890 100294 114964 128536 140884 151086 162890 173350 184726 193498 203976 215160 223164 233948 242474 249594 257608 263204 269376 274890 278066 284684 289700 295500 294756 301278 304056 305652 308418 312212 312616 311550 314216 318782 317150 316410 313706 313646 312862 309790 307602 303062 301014 300122 299344 
8932 25610 41612 55556 68356 83724 98640 112368 126880 138746 147026 157368 170350 180020 189924 199872 209698 220128 229796 237554 245956 254186 256498 263080 269176 276368 279342 286240 291044 290884 296356 298022 303028 306448 303052 306440 306838 309590 310880 308260 309390 308552 307984 306930 305202 304558 300812 296488 292068 294292 
8552 24592 40616 56366 69356 83500 96128 109258 123332 136792 146310 156756 168212 177156 184802 194372 204674 211160 220056 230522 238036 244786 249696 256794 262310 267228 272176 277620 283916 283290 290016 291974 296728 297618 296272 296086 298740 300168 299670 298926 303026 304434 302306 298618 297002 297884 297902 295638 291016 290562 
7642 24422 39850 54372 68018 81388 92932 105688 118838 130488 141078 152406 163180 172016 181890 192062 200312 207350 215106 225698 232012 238872 245796 250524 257474 261416 268998 275882 278324 280028 282670 288172 289940 289964 289152 290804 293104 294020 292974 293476 296346 297374 296494 296998 294578 294442 292428 290236 286500 282908 
7734 22780 38362 53070 66194 79974 91390 103530 115630 128912 138518 147914 158938 167614 178288 186774 198206 205446 213164 221800 226240 233546 239606 244604 251542 256764 262064 268890 272122 272152 275684 277610 279760 281268 283804 285962 288896 290904 290082 293658 296932 294526 292186 290594 289784 289586 286570 288480 283558 278422 
7324 22240 36294 50000 63794 77242 90534 103068 115120 126844 137486 146950 154194 165362 174240 180238 191382 199804 207394 215048 219820 226714 234948 241438 247796 252886 254776 261052 265756 266440 269462 270402 272108 272822 277724 278090 279290 283246 282552 289766 292080 288418 290016 285624 286486 282450 278494 279358 276488 273474 
7240 21362 35180 47804 61254 74584 88768 102008 114996 123998 134824 143254 151308 162418 170684 177784 186280 195228 201938 205204 215836 222032 228010 235136 242050 248680 250108 253460 256548 260902 264944 268096 270052 271580 272638 273576 275114 277578 278990 282482 283308 284554 284284 280142 277896 277206 272172 273540 268652 262238 
7354 21404 35750 48562 63116 75720 86276 99036 112952 119944 129588 139288 151582 157618 165812 175292 181632 189798 196236 203906 210882 215532 221570 226022 231800 240894 243300 244278 247768 256516 259354 261388 263322 262850 264842 269970 272586 276624 276766 274126 274320 277582 275274 275636 272718 267730 269348 266452 261488 258416 
7208 21042 34544 48620 62670 75834 84924 98714 109970 118088 129546 137478 146790 154662 159764 170188 175634 185580 194796 200286 205264 210262 215686 221010 225450 232574 237496 241132 243220 249934 253138 256400 255762 254914 257668 263044 267250 269994 270348 270368 272972 273832 271316 268308 268694 265636 266038 261398 256848 253592 
6880 20898 34888 47078 59954 71992 82244 95556 107772 115168 125544 134668 140546 149200 157632 167592 170784 180404 190732 195850 201152 203748 209612 217026 225380 229618 233212 236420 240458 245842 246262 251892 253962 254954 253340 257268 261492 266152 266088 268354 269584 270912 266808 262582 262124 260634 258818 253150 251922 249734 
6536 20214 33024 45410 57810 70504 80252 91674 103368 112642 121958 131374 137512 145118 155508 164320 167786 175808 186480 192252 196758 201128 205326 212924 220720 226740 230408 234198 236838 241320 242716 245612 249584 249128 252214 253402 254726 256028 256872 260248 261006 261514 258188 256160 256062 254188 252288 247814 247374 244906 
6286 19064 32016 43890 55320 65970 78156 88728 99276 111814 120934 127826 136764 141904 151812 160780 166122 175144 179450 186610 192942 198164 204586 211664 215462 221672 224290 227316 233258 235586 239302 241884 242428 244608 246420 247512 248508 247852 250378 250138 251428 250176 252386 251144 247964 246732 244670 243134 239786 238630 
6800 19776 32120 43844 55282 66452 78412 88500 99420 110874 118540 125646 135460 141520 150758 157294 162664 169580 173116 180892 187214 195650 201282 208968 212198 218262 221112 224202 228946 231324 231418 237668 235638 240066 242950 243948 244014 245292 247014 248312 249786 248640 250160 249856 247380 241960 243716 241124 234934 234454 
6798 19552 31790 42844 54924 65996 77442 88086 97596 107482 117150 124626 131112 139086 147056 155472 161396 167318 176232 182440 187424 195074 200024 205916 209430 215332 219416 220418 225422 228698 231182 233814 231204 235274 238840 242586 242426 243222 242764 248838 247584 248816 245934 245654 241506 240056 240852 237754 232710 231348 
6542 19460 31250 42930 54154 64606 74944 86040 94966 105786 114212 120240 127566 133476 143972 151660 157750 164088 171384 178258 182990 188410 194296 199092 202240 206686 211176 215342 221306 223118 224296 226920 228836 232400 237454 235784 237264 239858 241662 244886 241790 241820 241476 242694 238070 234174 232454 232374 225744 224096 
6312 18036 29690 41744 52124 62824 71486 81364 92708 103756 111442 117422 123376 131094 139990 146724 152698 157746 163356 171322 176094 181178 189704 194602 196934 201822 204328 208170 213552 216462 220512 221512 224476 228636 231428 232632 232542 234384 235724 235828 233600 233836 233912 233930 231256 228186 226096 222184 220980 219860 
6290 17788 28932 40738 50404 60400 70218 80264 89578 99704 108884 115086 123252 128392 134518 142628 148492 155568 160436 167470 173788 178600 187020 191264 195326 198306 203456 206406 210374 213810 219760 220902 222008 222854 225442 229166 228524 229166 230438 231522 234470 231516 229242 230160 227482 223748 223342 219458 217160 215516 
6036 17906 28290 40166 50198 60032 69148 79812 88512 99824 107952 112934 120410 126960 133836 141126 144864 152126 157424 164398 171882 173310 181616 187870 191890 195884 200986 205004 208812 211132 216934 218288 218222 216736 220442 221450 222532 226734 228658 231312 229810 227632 224170 225006 223374 222444 221088 216916 213396 211510 
5942 17134 28032 38408 46990 58248 68756 77570 85684 95216 102724 111068 116454 123862 132302 137990 141288 147290 152760 159336 164658 169958 177116 183100 186490 191906 196892 200574 204508 205756 207606 209652 210942 209802 215336 217284 215824 219950 219504 220214 222336 219132 217434 216158 215612 215616 215316 212844 210602 208130 
5560 16936 27376 36322 45906 56124 64898 75108 84846 93598 101426 108238 113554 120808 125880 130964 136520 144128 148792 155194 160010 165082 173016 179190 180462 186228 192514 193332 193734 196964 198782 201446 205180 206050 210480 211554 209958 212228 210924 211858 213390 211268 208536 207422 207020 206344 203914 201920 204648 201714 
5678 17090 27308 35998 46896 55364 63546 73226 83980 93104 97982 105502 112270 118326 121746 127866 133494 137902 144848 149908 155536 160352 165146 171292 177930 182792 187010 187718 187302 191208 194390 194792 199816 200996 206292 205058 206646 206660 205116 207638 207660 206406 206802 203676 201816 202296 197772 194452 193752 195564 
5396 15826 25704 34612 45336 55076 62954 71938 79010 87814 96448 103468 109448 116458 120048 126348 130610 136912 143690 149696 153630 158608 162702 169774 174348 177718 183920 184138 184002 186810 189594 191520 191226 195108 199922 203022 202854 202002 201124 202024 200346 199386 200936 199192 197548 197774 192686 190062 191060 188806 
5202 15156 24970 33758 42218 51762 61888 69778 76618 85862 93792 101150 108186 112738 118312 123340 129452 134512 139184 144658 148026 155120 163322 166208 167896 172024 175986 180456 180186 180626 184810 186392 186536 188780 192500 194110 197042 196750 197802 197706 197432 197118 197184 193992 194136 193028 189856 188592 185476 180388 
